filename,city,state,Geography,District #,office,year,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!Civilian labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Estimate!!INCOME AND BENEFITS!!Total households!!Mean household income (dollars),Estimate!!INCOME AND BENEFITS!!Total households!!Median household income (dollars),Estimate!!INDUSTRY!!Civilian employed population 16 years and over,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Total population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!SEX AND AGE!!Total population,Estimate!!HOUSEHOLDS BY TYPE!!Total households
Minneapolis_11022021_CityCouncilWard2.csv,Minneapolis,MN,city council,2,City council,2021,9578.386570183437,6422.812572278832,18956.75260672315,7.732474640426276,1.6635181339245308e-06,101.67897791012943,1799.162167,21645.551804894105,65858.56419197084,42612.249544455175,17490.33857896699,35.526032753354066,573.3492836711844,5247.386571261313,3250.589583434709,102.17323455458713,32548.111634550212,5528.969036496134,3806.225238403748,32548.111634550212,32548.111634550212,10200.318337631987
Minneapolis_11062009_Ward2CityCouncil.csv,Minneapolis,MN,city council,2,City council,2009,13118.925940734687,5119.061404329834,17266.43998280656,14.111663988501938,0.000689805,362.5597968931324,1077.1872366199439,18802.642919420075,42234.01366069785,20613.323664937652,14577.774805337405,1452.1120552765342,674.5737739662655,3453.986381000169,7115.397730537402,60.15651623607019,30899.43692473926,8283.231960420893,5302.069306124758,30899.43692473926,30899.43692473926,10903.415985846705
NewYorkCity_06222021_DEMCouncilMember2ndCouncilDistrict.csv,New York ,NY,city council,2,City council,2021,112921.29054111865,79578.58265554525,93589.81024,4.413053871400114,27.973016255051363,1284.1395775263518,25789.605743202275,83640.34999795728,190755.46667737467,107430.60024776719,89455.88385,103.93240160129719,796.9010406346091,27237.322569178134,14810.836367890597,476.7812343839827,150688.39421407302,32147.120285983245,14411.426166584923,150688.39421407302,150688.39421407302,76318.95196833587
Oakland_11022010_CityCouncilDistrict2.csv,Oakland,CA,city council,2,City council,2010,39260.42282658393,15641.801233923332,29850.185359776144,10.603884378095202,56.86765920736216,706.9172430188735,8770.762636725172,14485.877961028385,75117.36429,47774.73053277988,26683.292793235778,9.819326416746067,973.4140609436281,19844.053508476783,10227.600186868154,752.2307434824844,53466.172592141185,18366.39839278231,8338.785084905383,53466.172592141185,53466.172592141185,23098.22782595592
Oakland_11042014_CityCouncilDistrict2.csv,Oakland,CA,city council,2,City council,2014,45859.284732211025,19783.806439161577,35644.96970916444,8.789610512807142,27.13181641597494,832.1191040541204,9379.155830457452,17232.02993676464,80623.28358384494,53475.25205655224,32510.608906695456,62.01671329695392,1159.9921921162859,21965.37166650496,12124.448047710559,706.6399390445418,60704.96959805532,21494.386936294788,9755.225168426337,60704.96959805532,60704.96959805532,26001.34397013703
Oakland_11062018_CityCouncilDistrict2.csv,Oakland,CA,city council,2,City council,2018,47895.51699900939,24392.54170326102,37212.777675794336,5.7105770893357155,37.631411815732065,659.2976102970418,9667.477209001052,18569.53117658325,111808.52939212914,75819.66294217878,35092.882547867914,17.714267678327033,1049.4376555008334,21177.017738248327,10116.207660472268,626.3416851942751,59817.31142609097,20909.52071708622,8481.623529333587,59817.31142609097,59817.31142609097,25507.91115573703
SanFrancisco_11022004_BoardofSupervisorsDistrict2.csv,San Francisco,CA,city council,2,City council,2004,52061.81182901971,,41319.90547297348,,21.139560153394488,604.1369316079988,3450.6434809762777,46865.01469,150005.1770393335,97144.63458806618,39497.724587614044,128.25302727900694,581.7344180406338,10279.007152471408,1571.7267477573776,343.5548800596423,62730.93055240767,11310.144105643863,4399.815371112761,62730.93055240767,62730.93055240767,33267.723694746375
SanFrancisco_11022010_BoardofSupervisorsDistrict2.csv,San Francisco,CA,city council,2,City council,2010,52123.245367717376,40282.79390787743,41292.59533911643,6.182419728,15.00071302540519,753.5806157531138,4473.010835825191,44364.14654591611,157910.1860650078,105175.44375986946,38740.74874417933,38.53147263877945,475.38217193357144,12049.324514968117,1615.6859794368727,232.71613535196553,62677.796002865216,12458.808493408806,4870.919133907646,62677.796002865216,62677.796002865216,34318.74455815137
SanFrancisco_11062018_BoardofSupervisorsDistrict2.csv,San Francisco,CA,city council,2,City council,2018,56750.14060637572,46790.06178031748,47177.74895366098,3.0870363791488082,43.98299266680214,874.1532951020268,5332.076446595618,47118.912271232984,229526.43400733717,162691.1533737323,45722.737480281394,107.39618121029328,399.6401784044101,14885.596321433515,1746.250138706553,240.4212602,69366.01156825993,14298.763525405406,5624.878520398682,69366.01156825993,69366.01156825993,34929.69184
SanFrancisco_11072006_BoardofSupervisorsDistrict2.csv,San Francisco,CA,city council,2,City council,2006,52061.81182901971,,41319.90547297348,,21.139560153394488,604.1369316079989,3450.6434809762777,46865.01469,150005.1770393335,97144.63458806624,39497.72458761405,128.25302727900694,581.7344180406338,10279.007152471408,1571.7267477573776,343.5548800596423,62730.93055240767,11310.144105643863,4399.815371112762,62730.93055240767,62730.93055240767,33267.72369474638
SanLeandro_11032020_MemberCityCouncilDist2SanLeandroRCV.csv,San Leandro,CA,city council,2,City council,2020,10648.524345060745,3122.6602180753453,7806.810876806614,3.945597322510834,48.29477216055564,220.25489764725978,4015.3614213970322,2401.3162734197085,115596.14372735476,91815.75681640494,7499.260885731799,23.437112265171255,276.5189478,5914.048799365176,1597.8601374154798,178.31773357586997,13943.654975546426,5894.233253,2435.741597483279,13943.654975546426,13943.654975546426,4790.865945458631
SantaFe_03062018_CityCouncilDistrict2.csv,Santa Fe,NM,city council,2,City council,2018,13608.767084173982,7459.625904647054,8802.036006226623,5.221766140883047,19.919214961956282,166.34379831163682,6743.408632493911,8846.931981495005,85603.51502539325,59022.67975156908,8342.624533305021,133.35643750945425,341.34336949274615,473.4011312721808,554.9216743332802,38.12539928401745,16958.8731,2005.3152871916288,1310.0727471549749,16958.8731,16958.8731,8402.265720395091
StLouisPark_11022021_CityCouncilWard2.csv,St. Louis Park,MN,city council,2,City council,2021,10152.609768547387,7059.4143820434665,8511.749503686677,1.3913064902258445,0,158.5141380108392,769.4200872843363,10950.126048000202,137057.05032033788,104121.53443231637,8392.075464028476,49.61582908353299,139.5547808628411,846.7332663036625,637.3465727600924,6.852532721336698,13269.855349387115,980.3533350830556,458.09507544564764,13269.855349387115,13269.855349387115,6794.260935464764
Maine_06122018_DemocraticPrimaryforCD2.csv,,ME,congressional district,2,US House,2018,456984.4290182209,114283.00439793429,311656.19372484647,4.797846136504032,539.4978045252816,7561.638804,9506.114771105995,586948.5455024856,67452.90857978792,51033.209425963076,296691.9207017095,9843.989863943461,15208.04683729239,7493.034964,10217.375830003019,618.8506055057483,627983.7859,16414.613122990442,7361.165890301673,627983.7859,627983.7859,264070.66193865804
Maine_07142020_RepublicanCandidateforUSHouseofRepresentativesDistrict2.csv,,ME,congressional district,2,US House,2020,463888.93474024534,121218.79641321558,313021.9611,4.685236310511912,685.8921676368508,7522.108574107219,10584.539548683193,586095.8354579977,77786.53416127308,58862.30868464267,298358.6061449727,9791.820771550478,12958.39150886113,7799.530998388896,13459.681609496609,599.0833458719413,634254.4016166902,18999.183010303244,8571.004340215186,634254.4016166902,634254.4016166902,267158.14193560666
Maine_11062018_CongressionalDistrict2.csv,,ME,congressional district,2,US House,2018,456984.4290182209,114283.00439793429,311656.19372484647,4.797846136504032,539.4978045252816,7561.638804,9506.114771105995,586948.5455024856,67452.90857978792,51033.209425963076,296691.9207017095,9843.989863943461,15208.04683729239,7493.034964,10217.375830003019,618.8506055057483,627983.7859,16414.613122990442,7361.165890301673,627983.7859,627983.7859,264070.66193865804
Maine_11082022_CongressionalDistrict2.csv,,ME,congressional district,2,US House,2022,499881.9988613417,134650.9471922955,336651.12991148996,4.787574631419561,759.9999999999981,8023.629748617313,11630.497964835316,630334.8779683808,77792.74178,58585.64945351052,320534.87582658493,10959.132463410439,13702.375680060575,8389.690551365104,14808.375680899011,627.0000013973114,682561.8178546932,20664.76040745216,9207.314878710182,682561.8178546932,682561.8178546932,290000.5392136005
PierceCounty_11042008_CountyCouncilDistrict2.csv,Pierce County,WA,county district,2,County board of supervisors,2008,68049.99754577583,14004.677950588848,54978.25014955552,8.987613648654886,714.5738135990487,1854.9327499610636,9540.860227417199,75338.34546568204,64928.09439682961,56260.10407,49319.90865126602,26352.721736263014,4148.037785168188,9354.13067,7601.655334465394,1327.7036530012147,105492.11348896362,10384.425662042579,5004.298654768568,105492.11348896362,105492.11348896362,40275.46963857717
SanLeandro_11062012_CountyCouncilDistrict2.csv,San Leandro,CA,city council,2,County board of supervisors,2012,9715.009381783682,2278.3179196658157,7849.739686979066,8.493028299,1.720875964,176.58453718904713,4712.400409527691,2964.3724673928646,69805.50852623837,59893.47001034312,7182.568983923601,35.58125166149479,224.05359646396437,4286.747680267306,2077.4953757644403,184.5133906970999,14036.65156389999,5691.7669616020885,2851.721593734406,14036.65156389999,14036.65156389999,5035.452264431407
SanLeandro_11082016_CountyCouncilDistrict2.csv,San Leandro,CA,city council,2,County board of supervisors,2016,10138.707147643916,2971.7253015502656,7853.028082003466,5.185905517151323,17.806312517790577,232.8442543,4922.377754947545,2417.0930103867076,83268.22258289269,65942.90124783781,7445.471436449219,30.916732928727235,626.1518790683041,5158.1779386809285,2007.9669313549598,90.61964824,14274.833807428993,5312.759997653395,2451.241563989574,14274.833807428993,14274.833807428993,5140.8456957657945
Alaska_11082022_HouseDistrict2.csv,,AK,lower state legislative,2,State house,2022,13579.721654504581,3841.5320581827673,10003.536468901926,6.046901762271002,375.99964698795645,135.89377701738596,1332.076922336646,10382.126420001427,94916.96576196594,78632.80486911366,9398.192120166925,920.1078122,4778.171955806615,2000.4872755422577,260.7349108778664,368.610527,18518.23538,1849.805447,952.1457125,18518.23538,18518.23538,7477.578275624857
Minneapolis_11022021_ParkBoardDistrict2.csv,Minneapolis,MN,park district,2,Park board,2021,46425.48687417627,14811.334653975136,39047.06035,7.2417522849320415,20.060641414797896,1051.1516613861647,8537.584463,23873.14549657891,91270.40449240315,64857.78152447004,36219.250565745286,162.67773758402097,3142.1705814393285,8394.120543811234,32793.03523,177.08978833728744,74536.92602058423,12641.598385604671,5132.665546968193,74536.92602058423,74536.92602058423,27058.50419773859
Minneapolis_11052013_PRBoardDistrict2.csv,Minneapolis,MN,park district,2,Park board,2013,39886.58990730328,10458.937641672352,33018.68944455682,12.939800038189942,18.883279896478918,1610.2604488810566,5312.3299894391575,21629.678666901793,57857.871839217965,41584.27779378161,28748.143789481466,166.9687889703149,2121.1253004978544,9208.690579503067,30583.720549794627,364.59394504429804,67697.57772493572,9836.646883854683,5306.363935,67697.57772493572,67697.57772493572,24052.46730929617
Minneapolis_11062009_PRBoardDistrict2.csv,Minneapolis,MN,park district,2,Park board,2009,35227.10631391629,7149.467860541644,29173.92639706616,17.54698968049368,0.26786139426072136,1183.9844475402238,3970.0423157394926,19739.015072161503,48329.78240589897,35609.02675213452,23477.133838567795,3193.673113161701,1882.7683043546006,8001.109321547266,27450.666395259923,22.120003294699842,59583.51835681713,7610.746465083539,3960.7069358396193,59583.51835681713,59583.51835681713,22569.881574006264
Minneapolis_11072017_PRBoardDistrict2.csv,Minneapolis,MN,park district,2,Park board,2017,44326.82108349788,13051.854959312777,37928.68301572459,8.206046555508161,0.007697981,1392.9802490736522,6247.970707876933,23486.361055804486,71376.32403493795,50643.97107008496,34815.49504051144,200.52958837472883,2883.312407258051,8938.769245763755,32771.42380530595,75.01363818816229,72548.72467,10877.91279153266,5142.894976081365,72548.72467,72548.72467,25899.36404665471
Oakland_11042014_SchoolDirectorDistrict2.csv,Oakland,CA,school board district,2,School superintendant,2014,45859.284732211025,19783.806439161577,35644.96970916444,8.789610512807142,27.13181641597494,832.1191040541204,9379.155830457452,17232.02993676464,80623.28358384494,53475.25205655224,32510.608906695456,62.01671329695392,1159.9921921162859,21965.37166650496,12124.448047710559,706.6399390445418,60704.96959805532,21494.386936294788,9755.225168426337,60704.96959805532,60704.96959805532,26001.34397013703
Oakland_11082022_Schoolboarddistrict2.csv,Oakland,CA,school board district,2,School superintendant,2022,49250.810047427396,26231.76999241897,37728.29882180171,4.8150684875602145,86.19580432938997,634.6206154588718,9574.779944,19885.437217939736,130617.95725008124,86401.79425677902,35910.41589307231,118.84677000164451,1247.3456657289616,21723.536391180623,10455.732236274962,512.2370003970493,61928.61608157357,20700.373919161957,7614.767227600361,61928.61608157357,61928.61608157357,27105.39927
Minneapolis_11072017_Ward2CityCouncil.csv,Minneapolis,MN,city council,2,City council,2017,11206.463375896663,6419.4724822982025,19573.13754696673,8.290265013,7.000028630925509,280.0926796092292,1237.4828230242742,20054.46972802058,56422.385703971915,33951.666469287804,17953.40433001508,41.73612252408378,565.9964708846268,5466.985509195776,6070.0239211538155,57.03460450047963,33201.485329980664,7065.671618,4542.379474608928,33201.485329980664,33201.485329980664,10051.319904098316
Oakland_11022010_SchoolDirectorDistrict2.csv,Oakland,CA,school board,2,School director,2010,39260.42282658393,15641.801233923332,29850.185359776144,10.603884378095202,56.86765920736216,706.9172430188735,8770.762636725172,14485.877961028385,75117.36429,47774.73053277988,26683.292793235778,9.819326416746067,973.4140609436281,19844.053508476783,10227.600186868154,752.2307434824844,53466.172592141185,18366.39839278231,8338.785084905383,53466.172592141185,53466.172592141185,23098.22782595592
Oakland_11062018_SchoolDirectorDistrict2.csv,Oakland,CA,city council,2,School director,2018,47895.51699900939,24392.54170326102,37212.777675794336,5.7105770893357155,37.631411815732065,659.2976102970418,9667.477209001052,18569.53117658325,111808.52939212914,75819.66294217878,35092.882547867914,17.714267678327033,1049.4376555008334,21177.017738248327,10116.207660472268,626.3416851942751,59817.31142609097,20909.52071708622,8481.623529333587,59817.31142609097,59817.31142609097,25507.91115573703
SanFrancisco_11082022_BoardofSupervisorsD2.csv,San Francisco,CA,city council,2,Board of supervisors,2022,54650.65001357519,45194.60187264106,45041.22144475158,3.231279448387335,94.42215446129677,656.2296920334196,6660.860028958271,41667.82705565782,265783.9176195511,189079.98159357687,43582.53564627976,34.11685371291027,757.8580720519981,14574.499581182616,2375.086588121155,227.6235468,66386.00229,13900.157921628203,6328.549930800526,66386.00229,66386.00229,34366.179148480056
TakomaPark_11082022_CityCouncilWard2.csv,Takoma Park,MD,city council,2,City council,2022,1946.1325877950833,1232.9573364104203,1608.497942551047,3.340792448958977,0,63.42479872647178,483.29649245457347,1338.0721891416702,147029.99771499177,104306.65914382943,1554.2906341460653,2.5349572821968263,47.86003247308511,254.25644714142362,885.2923963916633,0,2930.557844303038,804.4583285274402,400.8558453650288,2930.557844303038,2930.557844303038,1098.5919727038588
Berkeley_11032020_MemberCityCouncilDist3BerkeleyRCV.csv,Berkeley,CA,city council,3,City council,2020,11743.016289509524,7640.865173961159,10520.64009920918,7.046752926133178,5.286563710550645,70.10558709890891,3070.9836892657017,8613.985015,138510.39244553144,94073.56331625233,9779.691998539196,36.28341854975306,449.4832165695506,3443.8641606039946,2344.8154539141797,49.702602528193445,17284.174028018053,3505.8421538360244,1930.6545774292615,17284.174028018053,17284.174028018053,6615.664917963641
Berkeley_11062012_CityCouncilDistrict3.csv,Berkeley,CA,city council,3,City council,2012,9705.555041,5315.029632171353,8198.544450875639,10.635299235923856,0.052160867,103.15124750762509,1954.1819149558482,6420.576987219489,74639.89483902713,50039.16161300188,7325.652423718322,20.882144202975585,411.8650602594809,2281.948793473375,3285.8258366852374,37.14893180407749,13678.999741403824,2468.7156351362896,1531.4065016183642,13678.999741403824,13678.999741403824,5732.685642053633
Berkeley_11082016_CityCouncilDistrict3.csv,Berkeley,CA,city council,3,City council,2016,11264.332255373662,7323.393909178375,10390.28174016278,5.545360700691965,16.70111368007843,90.14559469703931,2420.1110965546554,8366.183866022675,98384.32331944566,68295.19398193141,9813.774663532939,25.556705270201533,602.4565261760508,3132.018443752223,2975.2535774906223,120.70997507613973,16746.637974191643,2596.7555956934752,1571.1427569239722,16746.637974191643,16746.637974191643,6464.441416221792
Minneapolis_11022021_CityCouncilWard3.csv,Minneapolis,MN,city council,3,City council,2021,23665.263010967003,15854.984202536678,21197.550825350114,3.767582774170417,10,327.0645054,1790.2432310957586,20872.708186672786,127827.40376200528,84725.17736263928,20398.56899487404,107.68058863114337,663.7018545634293,2595.224223,3677.8768804340298,27.013662252764714,29414.824205046123,3779.017398475067,1698.4294193249457,29414.824205046123,29414.824205046123,17038.09597824566
Minneapolis_11062009_Ward3CityCouncil.csv,Minneapolis,MN,city council,3,City council,2009,16803.535951829574,6596.819212038729,17207.996016606354,10.542365785725844,0.052522833,450.97368604936923,2586.8924878305143,16680.904179003133,54463.34873067844,32655.750735190588,15424.238528482603,130.02007599290656,864.5140015667948,3316.548524058491,5786.340335663191,23.90104015514321,28735.802602549997,5064.788283846292,3316.3313324146056,28735.802602549997,28735.802602549997,12876.509099500232
Minneapolis_11072017_Ward3CityCouncil.csv,Minneapolis,MN,city council,3,City council,2017,20121.782539126783,12636.407910210299,18810.37758174939,3.8645615519337073,0,220.43630574868925,1660.6220089667227,19042.44895,102371.53257976471,67722.78443371375,18081.753101789862,55.37420109760953,633.2278777,2470.5027071949344,3515.207220328615,29.831271328110624,26995.584457633795,4056.833902015335,2165.514118652656,26995.584457633795,26995.584457633795,13785.74173519227
NewYorkCity_06222021_DEMCouncilMember3rdCouncilDistrict.csv,New York ,NY,city council,3,City council,2021,132417.91200066035,102023.72396865547,107805.46484079438,5.364078571515953,49.68663162292563,1254.4829146348666,24877.050426504178,96997.71527620422,205237.90532735194,120719.23831515227,102018.04499248513,66.67316891024117,2304.6124290079915,25350.306902346736,12175.182483516417,118.32603022013785,157933.49429519527,40451.62156236865,19732.92228406822,157933.49429519527,157933.49429519527,91853.39759737097
Oakland_11032020_MemberCityCouncilDist3OaklandRCV.csv,Oakland,CA,city council,3,City council,2020,52160.79217209365,28325.52214,41725.65364931089,6.639323997492344,78.91082639442409,655.0970787184332,8689.713165287267,20970.709481700917,124745.48575675377,84996.0811,38955.71858919831,242.65683639518286,1166.1373491269758,13676.182801589692,22276.20561494065,521.9557170582888,65005.86331197969,15112.450789640312,6841.812171,65005.86331197969,65005.86331197969,31467.673631553862
Oakland_11062012_CityCouncilDistrict3.csv,Oakland,CA,city council,3,City council,2012,47382.98038381428,19462.019745997757,35667.86273180329,11.337305524965066,109.91524721810427,755.8404707873827,8518.743837985607,17654.460779337493,59923.061615513085,39623.53414252203,31618.350738563247,240.82073489668562,1681.4770648415963,13404.782200707708,22057.92020464024,360.50532937443774,61338.27493262336,16322.476301332517,7769.046282406643,61338.27493262336,61338.27493262336,30330.890787579283
Oakland_11082016_CityCouncilDistrict3.csv,Oakland,CA,city council,3,City council,2016,50381.989099308295,24748.117029192854,38788.71932361971,6.237110474583842,35.952744133009375,502.92022131290304,8060.311179869772,19673.806784384946,84831.37208,54457.00060497289,36378.123246443196,88.20420235709355,1350.2334875255447,12804.193929698482,21672.98160623869,652.9663532133684,61707.34113381251,14842.617500440681,6786.1684388588965,61707.34113381251,61707.34113381251,29706.053268142216
SanFrancisco_11022004_BoardofSupervisorsDistrict3.csv,San Francisco,CA,city council,3,City council,2004,54807.08788356237,,39019.57705490044,,9.761806052172503,545.6310445943644,3409.419406250249,28022.396911869997,79773.56564862725,43901.54350854709,36110.71898177474,42.235634731295036,543.9390130559561,31131.23162080127,1857.518324359625,221.08225199810013,64770.475626374784,28118.783114527407,10965.998925272701,64770.475626374784,64770.475626374784,34176.13985880961
SanFrancisco_11032015_BoardofSupervisorsDistrict3.csv,San Francisco,CA,city council,3,City council,2015,58565.93474369065,31817.537538892808,44464.427190273025,5.159392601,63.28489497922784,478.0228153862308,5919.988715370069,29074.75475641854,109405.10276099718,63938.960571161435,42171.02180016277,54.074308065931845,526.7346051939526,31868.734336699697,2247.728140208405,245.91890139235736,69173.73047035658,28603.593464571397,11958.373317540296,69173.73047035658,69173.73047035658,37467.85346757452
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT3.csv,San Francisco,CA,city council,3,City council,2020,56914.53599113231,31408.453595904237,42820.02783607722,6.209990858091833,9.158281756188277,474.1525423454093,6601.201852927146,25608.128949603044,142569.42959497296,81390.06921190985,40160.70987672277,50.01320968421286,878.9437865190524,30618.267594642937,3631.180066024224,319.3758397116709,66897.95626240323,26919.35293083177,11593.26646560401,66897.95626240323,66897.95626240323,36848.495349496625
SanFrancisco_11042008_BoardofSupervisorsDistrict3.csv,San Francisco,CA,city council,3,City council,2008,54086.78969727183,25521.64269013529,39645.13838797107,9.035719678763433,16.999999999999993,534.0888618757247,3604.8647399583238,26558.508996941557,77113.83924417887,47141.11731,36502.81725215842,4658.400483854957,581.3300397008035,33014.364074634505,2063.0230427961715,227.8745171229889,65631.63865,29716.450598266638,12168.219044895586,65631.63865,65631.63865,35328.65890266509
SanFrancisco_11082016_BoardofSupervisorsDistrict3.csv,San Francisco,CA,city council,3,City council,2016,58973.81457444535,32167.07218109589,44709.08214895714,5.266697735515975,13.783892705568844,342.56252254458565,5844.822863259858,28502.914085771165,114873.79589769883,68072.55661803354,42357.35054873642,50.322431350361015,549.7032618653237,31862.24097288122,2479.776034592098,283.63311351193084,68961.37504739784,28931.13485174447,12033.405382552239,68961.37504739784,68961.37504739784,37516.57686314502
StLouisPark_11022021_CityCouncilWard3.csv,St. Louis Park,MN,city council,3,City council,2021,8173.041599099375,4367.812465229073,6572.858062448982,3.9159879899995724,0,234.12205028125447,641.7020664,8331.449252571321,109588.83007205214,88602.12499303235,6315.161123910123,21.42445577215722,209.39967589259928,776.3583465510874,1216.979200928908,10.190420304524803,11246.06898502824,1096.5588971304069,481.2920843271423,11246.06898502824,11246.06898502824,4952.505087809777
TakomaPark_11082022_CityCouncilWard3.csv,Takoma Park,MD,city council,3,City council,2022,2501.380021743307,1577.738331732892,1817.1127542562372,5.5077465471069464,0,58.04609864260569,428.6350008568387,1817.3767076296858,141049.22564342793,102552.50475807107,1716.6882007304675,12.395200706449375,96.62208812415035,234.20921976643027,971.9255497339996,1.5841065612917866,3480.157125759788,815.1881135572295,392.33599774910635,3480.157125759788,3480.157125759788,1449.765839022549
SanLeandro_11042014_CountyCouncilDistrict3.csv,San Leandro,CA,city council,3,County board of supervisors,2014,11762.158817220432,2681.029694951741,9296.653441386423,6.254001013166466,10.27818279805168,372.1444301078473,4191.765236948407,3537.805591674453,79754.00584526177,59325.45623113996,8714.470883,35.85665353003192,203.88428847990923,7514.772337718777,2274.700597461977,260.28414411593724,17560.60314,6834.979420692675,2413.2673777376285,17560.60314,17560.60314,5794.170479912182
SanLeandro_11062018_CountyCouncilDistrict3.csv,San Leandro,CA,city council,3,County board of supervisors,2018,13172.193692355308,3047.233156609547,9917.558786408466,4.094274002436437,0.6204961459216877,158.04179770907152,5227.351222110159,3463.917910152676,98829.75804300279,82108.18068049387,9510.485998,104.53611498583659,398.7674916768613,8638.945085328594,1493.3021827733307,383.0423904002922,18511.24171,7623.544224372667,2895.859280542086,18511.24171,18511.24171,5582.289254200528
Minneapolis_11022021_ParkBoardDistrict3.csv,Minneapolis,MN,park district,3,Park board,2021,42319.575980547874,16832.33659669567,35280.491545126846,9.262023092906297,43.11752617882076,988.1790813312259,11499.863597726475,27860.51056594396,75311.71931401691,52876.46403361557,32013.21187505949,286.28995546788514,3653.8745314576017,2990.779697242528,22618.045147287372,97.04526336766693,67258.16378401755,17078.714366082444,7622.853030179739,67258.16378401755,67258.16378401755,26089.839767310135
Minneapolis_11062009_PRBoardDistrict3.csv,Minneapolis,MN,park district,3,Park board,2009,37782.82768064287,13735.70945293843,34447.658262653276,10.444132098120862,1.3901755635949922,1469.0050661727153,12181.969226472362,27226.877253067574,44919.27257,30393.06118586606,31800.311578105946,4955.275715717455,3481.3460371201486,2827.2895731280832,18578.485310326338,198.06832638315507,63413.38528,17143.60117213681,11995.526442888227,63413.38528,63413.38528,25397.653444084943
Minneapolis_11072017_PRBoardDistrict3.csv,Minneapolis,MN,park district,3,Park board,2017,43974.10650496992,15843.648435716352,38840.798761095415,7.278609732288055,0,1289.4107849921986,13854.191554980824,28686.579971306415,62421.066784864735,41461.48249,36015.066086763036,211.7990427097587,3432.0103031883646,3851.9462362791865,23195.78880898674,132.4824860650844,71030.29597285794,20398.50647698302,11556.32866166102,71030.29597285794,71030.29597285794,26393.093108721318
Oakland_11032020_SchoolDirectorDist3OaklandRCV.csv,Oakland,CA,school board district,3,School superintendant,2020,52160.79217209365,28325.52214,41725.65364931089,6.639323997492344,78.91082639442409,655.0970787184332,8689.713165287267,20970.709481700917,124745.48575675377,84996.0811,38955.71858919831,242.65683639518286,1166.1373491269758,13676.182801589692,22276.20561494065,521.9557170582888,65005.86331197969,15112.450789640312,6841.812171,65005.86331197969,65005.86331197969,31467.673631553862
Oakland_11062012_SchoolDirectorDistrict3.csv,Oakland,CA,school board district,3,School superintendant,2012,47382.98038381428,19462.019745997757,35667.86273180329,11.337305524965066,109.91524721810427,755.8404707873827,8518.743837985607,17654.460779337493,59923.061615513085,39623.53414252203,31618.350738563247,240.82073489668562,1681.4770648415963,13404.782200707708,22057.92020464024,360.50532937443774,61338.27493262336,16322.476301332517,7769.046282406643,61338.27493262336,61338.27493262336,30330.890787579283
Oakland_11082016_SchoolDirectorDistrict3.csv,Oakland,CA,school board district,3,School superintendant,2016,50381.989099308295,24748.117029192854,38788.71932361971,6.237110474583842,35.952744133009375,502.92022131290304,8060.311179869772,19673.806784384946,84831.37208,54457.00060497289,36378.123246443196,88.20420235709355,1350.2334875255447,12804.193929698482,21672.98160623869,652.9663532133684,61707.34113381251,14842.617500440681,6786.1684388588965,61707.34113381251,61707.34113381251,29706.053268142216
Alaska_11082022_HouseDistrict3.csv,,AK,lower state legislative,3,State house,2022,12667.046753981373,4755.360757242926,9694.935710282978,5.970799640504731,178.30695690051343,141.72371954710613,887.1787885850742,12551.427454977824,116731.14553192815,93337.93186750272,9116.844588090731,426.6680941296493,2619.3450686048623,1787.8963514934724,458.20458838833554,402.29982271421636,18150.14715381235,1037.4034763072732,435.0512839204614,18150.14715381235,18150.14715381235,6978.091271480525
SanLeandro_11022010_CountyCouncilDistrict3.csv,San Leandro,CA,county district,3,City council,2010,55416.937044812395,26628.486051663796,41890.31341506312,8.518296790095091,18.999999999999993,410.6606429003006,5023.788921575093,27572.67226771085,87811.31175,47278.275541532326,38320.452089955455,36.03330299224454,543.7598304331019,32634.316116874685,2064.238379616849,331.18105503688446,67299.54437,29768.72327845573,13038.5379,67299.54437,67299.54437,36149.44665277963
